"Original Search Term","Is identified","Original Product Cost ($USD)","Shipping From","AID","Product Title","Description","UPCs","ASIN","Recommended","Recommended in Amazon US","Recommended in Amazon CA","Recommended in eBay US","Recommended in Walmart US","MSRP (USD)","Is identified in Amazon US","Identification type Amazon US","Amazon US ASIN","Taxonomy: Amazon US Category Tree","Amazon US Total Sales (USD)","Amazon US Estimated Unit Sales Per Month","Amazon US Sales Estimated On","Amazon US Price (USD)","Amazon US Buy Box Price (USD)","Offered by Amazon US","Amazon US is FBA","Amazon US Listing URL","Amazon US Demand","Amazon US % Profit","Amazon US Local Category Name","Amazon US Local Amazon Rank","Amazon US Local Sub Category Name","Amazon US Local Sub Category Rank","Amazon US Offerings","Amazon US % Profit","Amazon US Profit (USD)","Amazon US Market fee (USD)","Amazon US FBA fee (USD)","Amazon US Tax (USD)","Amazon US Insights","Is identified in Amazon CA","Identification type Amazon CA","Amazon CA ASIN","Taxonomy: Amazon CA Category Tree","Amazon CA Total Sales (USD)","Amazon CA Estimated Unit Sales Per Month","Amazon CA Price (USD)","Amazon CA Buy Box Price (USD)","Offered by Amazon CA","Amazon CA is FBA","Amazon CA Listing URL","Amazon CA Demand","Amazon CA % Profit","Amazon CA Local Category Name","Amazon CA Local Amazon Rank","Amazon CA Local Sub Category Name","Amazon CA Local Sub Category Rank","Amazon CA Offerings","Amazon CA % Profit","Amazon CA Profit (USD)","Amazon CA Market fee (USD)","Amazon CA FBA fee (USD)","Amazon CA Tax (USD)","Amazon CA Insights","Is identified in eBay US","Identification type eBay US","eBay US eBay Item ID","Taxonomy: eBay US Category Tree","eBay US Total Sales (USD)","eBay US Estimated Unit Sales Per Month","eBay US Price (USD)","eBay US Seller Offer : Id","eBay US Listing URL","eBay US Demand","eBay US % Profit","eBay US Local Category Name","eBay US Local Amazon Rank","eBay US % Profit","eBay US Profit (USD)","eBay US Market fee (USD)","eBay US PayPal fee (USD)","eBay US Tax (USD)","eBay US Insights","Is identified in Walmart US","Identification type Walmart US","Walmart US Walmart Item ID","Taxonomy: Walmart US Category Tree","Walmart US Total Sales (USD)","Walmart US Estimated Unit Sales Per Month","Walmart US Price (USD)","Walmart US Seller Offer : Name","Walmart US Seller Offer : Price","Walmart US Listing URL","Walmart US Demand","Walmart US % Profit","Walmart US Local Category Name","Walmart US Local Amazon Rank","Walmart US % Profit","Walmart US Profit (USD)","Walmart US Market fee (USD)","Walmart US Tax (USD)","Walmart US Insights","Brand Name","Model","Color","Image URL"
"014633735222","true","1.0","US","Could not identify the product from a valid resource",,"Need for Speed Payback, Electronic Arts, PlayStation 4, [Physical], 014633735222KEY FEATURES Scrap to Stock to Supercar- Endlessly fine-tune your performance through each of the five distinct car classes (Race, Drift, Off-Road, Drag, and Runner), to turn the tables on the competition in any race, mission, or challenge. Find abandoned vehicles scattered throughout the world to build your perfect car from the ground up. Collect, win, or buy the hottest after-market parts and craft a fleet of perfect driving machines Live out an action-driving fantasy- Play through an explosive adventure as three distinct playable characters united by a common goal, Revenge at any cost. Tyler, Mac, and Jess team up to even the score, and enter the ultimate race to take down The House. Battle cops with ever-increasing intensity, race against rivals across the city, and drive on- and off-road through mountains, canyons, and desert. High-stakes competition-Get on a roll and win big with risk-versus-reward gameplay. The return of intense cop chases means the stakes have never been higher. Put your reputation on the line and challenge your friends or potential rivals via Autolog recommendations throughout the campaign events or go head-to-head in classic online leaderboards. Need for Speed Payback, Electronic Arts, PlayStation 4, [Physical], 014633735222KEY FEATURES Scrap to Stock to Supercar- Endlessly fine-tune your performance through each of the five distinct car classes (Race, Drift, Off-Road, Drag, and Runner), to turn the tables on the competition in any race, mission, or challenge. Find abandoned vehicles scattered throughout the world to build your perfect car from the ground up. Collect, win, or buy the hottest after-market parts and craft a fleet of perfect driving machines Live out an action-driving fantasy- Play through an explosive adventure as three distinct playable characters united by a common goal, Revenge at any cost. Tyler, Mac, and Jess team up to even the score, and enter the ultimate race to take down The House. Battle cops with ever-increasing intensity, race against rivals across the city, and drive on- and off-road through mountains, canyons, and desert. High-stakes competition-Get on a roll and win big with risk-versus-reward gameplay. The return of intense cop chases means the stakes have never been higher. Put your reputation on the line and challenge your friends or potential rivals via Autolog recommendations throughout the campaign events or go head-to-head in classic online leaderboards. Need for Speed Payback, Electronic Arts, PlayStation 4, [Physical], 014633735222KEY FEATURES Scrap to Stock to Supercar- Endlessly fine-tune your performance through each of the five distinct car classes (Race, Drift, Off-Road, Drag, and Runner), to turn the tables on the competition in any race, mission, or challenge. Find abandoned vehicles scattered throughout the world to build your perfect car from the ground up. Collect, win, or buy the hottest after-market parts and craft a fleet of perfect driving machines Live out an action-driving fantasy- Play through an explosive adventure as three distinct playable characters united by a common goal, Revenge at any cost. Tyler, Mac, and Jess team up to even the score, and enter the ultimate race to take down The House. Battle cops with ever-increasing intensity, race against rivals across the city, and drive on- and off-road through mountains, canyons, and desert. High-stakes competition-Get on a roll and win big with risk-versus-reward gameplay. The return of intense cop chases means the stakes have never been higher. Put your reputation on the line and challenge your friends or potential rivals via Autolog recommendations throughout the campaign events or go head-to-head in classic online leaderboards.","[014633735222]","B072M668VC","true","true","true","true","true","59.96","true","ID","B072M668VC","Video Games > PlayStation 4 > Games","2644.0","50","2024-05-27","19.60","19.60"," Yes but currently out of stock","true","https://www.amazon.com/dp/B072M668VC","MEDIUM","80.0","Video Games","7242","Games","324","15","80.0","15.66","2.94","3.15","0.00","Cross channel competition","true","ID","B072M668VC","Video Games > PlayStation 4 > Games","1219.24","44","27.71","27.71"," Yes but currently out of stock","true","https://www.amazon.ca/dp/B072M668VC","MEDIUM","72.0","Video games","4091","Games","209","9","72.0","19.95","4.15","3.27","2.61",,"true","keywords","276471713835","Video Games & Consoles","27.98","2","13.99",,"https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=276471713835","MEDIUM","82.0",,,"82.0","11.44","0.84","0.71","0.00","Displaying lowest price from a high-ranked seller ; Listing identified using keywords","true","ID","55849657","Video Games > ","487.48","22","22.08",,,"https://www.walmart.com/ip/55849657","MEDIUM","80.0",,,"80.0","17.77","3.31","0.00","Cross channel competition","Electronic Arts","73522","Gray","https://i5.walmartimages.com/seo/Need-for-Speed-Payback-Electronic-Arts-PlayStation-4-Physical-014633735222_008afc89-4d77-4a8b-8cf4-7e4319e9cb62_1.d0d941c80c852b72ee69e91450eb1e9d.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"887256015954","true","1.0","US","Could not identify the product from a valid resource",,"Control Epic Beasts - Tame every predator and choose how you use their specific skills to slay your foes.,Discover the Deadly World of Oros - Fight to survive amid lush redwood forests, harsh Taiga, frozen tundra, and murky swamps.,Rise Above Extinction - Defeat the deadly tribes of Oros with all new weapons and tools in the original fight for humanity s survival.,Stone Age by Far Cry: - Enter an open world sandbox filled with the unpredictable chaos and peril that the award-winning Far Cry franchise is known for.","[887256015954]","B016BT105M","false","false","false","false","false","0.0","true","ID","B016BT105M","Video Games > PlayStation 4 > Games","0.0","0",,"19.96",," Yes but currently out of stock","false","https://www.amazon.com/dp/B016BT105M","LOW","80.0","Video Games","109061","Games","4449","1","80.0","15.97","2.99","3.15","0.00",,"true","ID","B016BT105M","Video Games > PlayStation 4 > Games","197.55","9","21.95",," Yes but currently out of stock","true","https://www.amazon.ca/dp/B016BT105M","LOW","71.0","Video Games","109061","Games","4449","5","71.0","15.59","3.30","3.27","2.07","Displaying lowest price from a high-ranked seller","true","keywords","404792281323","DVDs & Movies","0.0","0","20.48",,"https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=404792281323","LOW","82.0",,,"82.0","16.75","1.84","0.89","0.00","Listing price includes shipping ; Listing identified using keywords","true","ID","163719880","Video Games > Video Game Titles","0.0","0","18.99",,,"https://www.walmart.com/ip/163719880","LOW","80.0",,,"80.0","15.14","2.85","0.00",,"Ubisoft","UBP30502005",,"https://i5.walmartimages.com/seo/PS4-FAR-CRY-PRIMAL_73876a85-fd6b-4cb8-9373-934acbce88bf.0e754881b6a52ec74907354bbc689c36.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"710425377822","true","1.0","US","Could not identify the product from a valid resource","Grand Theft Auto: Episodes from Liberty City (Bilingual Game-Play) [video game]",,,,"true",,"true","false",,"32.56","false",,,,,,,,,,,,,,,,,,,,,,,,,"true","keywords","B003E470M0","Video Games > Legacy Systems > PlayStation Systems > PlayStation 3 > Games","173.9","5","34.78","32.23"," Yes but currently out of stock","true","https://www.amazon.ca/dp/B003E470M0","MEDIUM","74.0","Video games","18890","Games","292","2","74.0","25.67","4.83","3.45","3.28","Listing price includes shipping ; Displaying lowest price from a high-ranked seller ; Listing identified using keywords","true","keywords","135055262844","Video Games & Consoles","41.98","1","32.56","moviesandgames514","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=135055262844","UNAVAILABLE","87.0",,,"87.0","28.37","1.95","1.24","0.00","Listing price includes shipping ; Listing identified using keywords","false",,,,,,,,,,,,,,,,,,,,,,
"014633366679","true","1.0","US","Could not identify the product from a valid resource","PlayStation 3 Cover Art Reprint (H-N)",,,,"true",,"true","false",,"7.61","false",,,,,,,,,,,,,,,,,,,,,,,,,"true","keywords","B007H2V7II","Video Games > Legacy Systems > PlayStation Systems > PlayStation 3 > Games","164.8","5","32.96","32.96"," Yes but currently out of stock","false","https://www.amazon.ca/dp/B007H2V7II","MEDIUM","73.0","Video games","16795","Games","238","2","73.0","23.91","4.94","3.45","3.10","Listed by a low ranked seller ; Listing identified using keywords","true","keywords","196303765098","Video Games & Consoles","10.77","1","7.61",,"https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=196303765098","UNAVAILABLE","74.0",,,"74.0","5.63","0.46","0.52","0.00","Listing price includes shipping ; Listing identified using keywords","false",,,,,,,,,,,,,,,,,,,,,,
"711719810926","true","1.0","US","Could not identify the product from a valid resource",,"Key Features and Benefits: Adaptive Pitching Intelligence delivers a revolutionary enhancement to artificial intelligence that considers strengths, weaknesses and trends Comprehensive Online Suite features: online leagues, real-time MLB tickers, instant messaging, My Sliders and MLB.com Headline News for starters All-New Road To The Show career mode literally puts you on the field to play from player-based cameras and allows you to fast-forward between every at-bat and defensive play The Pitch Command System challenges you to utilize the full repertoire of every pitcher in the Major Leagues Major League authenticity featuring actual coaches and managers, unique umpire personalities, wind affects and much more","[711719810926]","B003BLBQQC","false","false","false","false","false","79.97","true","ID","B003BLBQQC","Video Games > Video Games",,,,,,,,"https://www.amazon.com/dp/B003BLBQQC","UNAVAILABLE",,"Video Games",,"Video Games",,,,,,,,"Out of Stock listing","true","ID","B003BLBQQC","Video Games > Video Games",,,,,,,"https://www.amazon.ca/dp/B003BLBQQC","UNAVAILABLE",,"Video Games",,"Video Games",,,,,,,,"Out of Stock listing","true","keywords","204698971617","Video Games & Consoles","0.0","0","14.88",,"https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=204698971617","UNAVAILABLE","82.0",,,"82.0","12.26","0.89","0.73","0.00","Listing identified using keywords","true","ID","5334372","Video Games > Video Game Titles","0.0","0","23.97",,,"https://www.walmart.com/ip/5334372","UNAVAILABLE","81.0",,,"81.0","19.37","3.60","0.00",,"Sony","07: The Show",,"https://i5.walmartimages.com/seo/MLB-07-The-Show-PlayStation-3_61b33082-9532-4696-a23d-92ab126ea58d.f5f36ce38002dd20402dffabf7b7544b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"888235023052","true","1.0","US","Could not identify the product from a valid resource",,"A desperate construction worker (Andrew Garfield) reluctantly accepts a job with the ruthless real-estate broker (Michael Shannon) who evicted him and his family from their home.","[888235023052]","B0192M6LOA","false","false","false","false","false","36.99","true","ID","B0192M6LOA",,"213.15","15",,"14.21","15.58"," Yes but currently out of stock","true","https://www.amazon.com/dp/B0192M6LOA","LOW","82.0","Movies & TV","72834","Movies & TV","72834","4","82.0","11.68","1.53","3.15","0.00","Listing price includes shipping","true","ID","B0192M6LOA",,"80.5","5","16.10",," Yes but currently out of stock","true","https://www.amazon.ca/dp/B0192M6LOA","LOW","72.0","Movies & TV","72834","Movies & TV","72834","4","72.0","11.55","2.03","3.27","1.52","Listing price includes shipping","true","keywords","314896655065","DVDs & Movies","0.0","0","9.48",,"https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=314896655065","LOW","74.0",,,"74.0","7.06","0.85","0.57","0.00","Listing price includes shipping ; Listing identified using keywords","true","ID","219288561","Movies & TV Shows","0.0","0","4.99",,,"https://www.walmart.com/ip/219288561","LOW","65.0",,,"65.0","3.24","0.75","0.00",,"VVS Films",,"Y","https://i5.walmartimages.com/seo/99-Homes-Bluray-Blu-ray-Bilingual-Blu-ray_1dd1dc2f-5248-4825-aead-545f4dfe83a0.7eca0721240af03de68795fd6f14d285.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"883929199778","true","1.0","US","Could not identify the product from a valid resource","Something Borrowed (Blu-ray Disc, 2011) Kate Hudson John Krasinski NEW SEALED",,,,"true","true","true","true",,"19.39","true","keywords","B005A5YT2K",,"8647.01","433",,"19.97","19.97"," Yes but currently out of stock","true","https://www.amazon.com/dp/B005A5YT2K","MEDIUM","80.0","Dvd","47847",,,"5","80.0","15.97","3.00","3.15","0.00","Cross channel competition ; Listing identified using keywords","true","keywords","B005A5YT2K",,"131.67","9","14.63",," Yes but currently out of stock","true","https://www.amazon.ca/dp/B005A5YT2K","MEDIUM","72.0","Dvd","47847",,,"4","72.0","10.60","1.65","3.27","1.38","Listing price includes shipping ; Displaying lowest price from a high-ranked seller ; Listing identified using keywords","true","keywords","364895991849","DVDs & Movies","0.0","0","7.61","jjanchan","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=364895991849","MEDIUM","71.0","Dvd","47847","71.0","5.41","0.68","0.52","0.00","Listing identified using keywords","false",,,,,,,,,,,,,,,,,,,,,,
"191329107737","true","1.0","US","Could not identify the product from a valid resource","Captive State (Blu-ray) (Bilingual) New Blu-ray",,,,"false","false","false","false",,"18.99","true","keywords","B07PS6PYKL",,"251.72","14",,"17.98","18.98"," Yes but currently out of stock","true","https://www.amazon.com/dp/B07PS6PYKL","LOW","83.0","Movies & TV","52706","Movies & TV","52706","2","83.0","14.88","2.10","3.15","0.00","Listing price includes shipping ; Listing identified using keywords","true","keywords","B07PS6PYKL",,"43.92","3","14.64","14.64"," Yes but currently out of stock","true","https://www.amazon.ca/dp/B07PS6PYKL","LOW","72.0","Movies & TV","52706","Movies & TV","52706","2","72.0","10.61","1.65","3.27","1.38","Listing price includes shipping ; Listing identified using keywords","true","keywords","305338583750","DVDs & Movies","0.0","0","18.99","movieoutlet","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=305338583750","LOW","81.0",,,"81.0","15.43","1.71","0.85","0.00","Listing identified using keywords","false",,,,,,,,,,,,,,,,,,,,,,
"043396473577","true","1.0","US","AIDGB7TQJ001",,"STEALING CARS","[043396473577]",,"true","false","true",,"false","10.99","true","ID","B01B36Z5PE","Movies & TV > Movies",,,,"12.99","12.99"," Yes but currently out of stock","false","https://www.amazon.com/dp/B01B36Z5PE","UNAVAILABLE","83.0","Movies & TV",,"Movies",,"2","83.0","10.79","1.20","2.38","0.00","Listing price includes shipping","true","ID","B01B36Z5PE",,"87.84","4","21.96","21.96"," Yes but currently out of stock","false","https://www.amazon.ca/dp/B01B36Z5PE","MEDIUM","76.0","Dvd","154419",,,"2","76.0","16.69","2.20","3.27","2.07","Listing price includes shipping","false",,,,,,,,,,,,,,,,,,,"true","ID","975711556",,"0.0","0","8.00","Just 4 Games Inc.","8.00","https://www.walmart.com/ip/975711556","UNAVAILABLE","72.0",,,"72.0","5.80","1.20","0.00",,,,,"https://i5.walmartimages.com/seo/STEALING-CARS_311a2c49-e1e4-4e80-9205-60947ed79491.0f3774ae7981d12832eda17f8aa4d5ff.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"883929094981","true","1.0","US","Could not identify the product from a valid resource",,"TERMINATOR SALVATION [DVD] [CANADIAN; FRENCH]","[883929094981]","B002Q4GIJ0","true","true","true","true","true","16.88","true","ID","B002Q4GIJ0",,"0.0","0",,"7.75",," Yes but currently out of stock","true","https://www.amazon.com/dp/B002Q4GIJ0","MEDIUM","72.0","Dvd","26005",,,"6","72.0","5.59","1.16","2.38","0.00","Cross channel competition","true","ID","B002Q4GIJ0",,"23.36","4","5.84","5.85"," Yes but currently out of stock","true","https://www.amazon.ca/dp/B002Q4GIJ0","MEDIUM","65.0","Dvd","26005",,,"14","65.0","3.80","0.49","2.86","0.55","Listing price includes shipping","true","keywords","285152876081","DVDs & Movies","0.0","0","4.87",,"https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=285152876081","MEDIUM","61.0","Dvd","26005","61.0","2.99","0.44","0.44","0.00","Listing price includes shipping ; Listing identified using keywords","true","ID","197975732","Movies & TV Shows > Shop Movies by Format","0.0","0","13.26",,,"https://www.walmart.com/ip/197975732","MEDIUM","77.0","Dvd","26005","77.0","10.27","1.99","0.00","Cross channel competition",,,,"https://i5.walmartimages.com/seo/TERMINATOR-SALVATION-DVD-CANADIAN-FRENCH_19e04204-0adb-4732-9c72-0984e0978dda.e8bb740acf4993f4311d5b38488c840d.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"014633357240","true","1.0","US","AID2DI6W2001",,"Defensive Skill Stick - NHL 08 gave you true offensive prowess with the Skill Stick, and this year, you have the power to stop it. Block passing lanes with 360 control of your stick or kill an opponent's one timer game by lifting their stick just before they receive a pass Be A Pro - A dynamic 3rd person camera puts you in the role of one player on a team. The Performance Tracker will rate your play in over 50 categories, to make sure you know what parts of your game need to improve. Start your career off in the ranks of the AHL and become one of the best in the NHL. Your very own hockey card will mark your progress, from your rookie beginnings to a potentially legendary ending Create-A-Play Breakouts - create a winning strategy in both online and offline play. Make breakout plays from your own zone or set up behind your net and tell your right winger to look for the flip dump from the defenseman NHL 94 Controls - Hit, pass, shoot, and score using the simplified two-button control system featured in NHL 94. So even if you're new to the game, you can challenge the best of the best One-handed Dekes - When you are skating in on a breakaway, tap the puck to one hand and tuck the puck behind a sprawling goalie for the ultimate finish","[014633168327]",,"false",,,,"false","24.99","false",,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,"true","ID","127679357","Video Games > Video Game Titles","0.0","0","18.51","Eqally Ecom LLC","18.51","https://www.walmart.com/ip/127679357","UNAVAILABLE","80.0",,,"80.0","14.73","2.78","0.00",,"Electronic Arts",,,"https://i5.walmartimages.com/seo/NHL-09-PlayStation-3_ca55ff02-4ee1-4931-b72d-0b2550b3a52f.4239a5f93d9f23c9735645cfa5e1fbf9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"625828626876","true","1.0","US","Could not identify the product from a valid resource","James Boy DVD ",,,,"false","false","false","false",,"10.23","true","keywords","B00HED9G38",,"0.0","0",,,,,,"https://www.amazon.com/dp/B00HED9G38","LOW",,"Dvd","80306",,,,,,,,,"Out of Stock listing ; Listing identified using keywords","true","keywords","B00HED9G38",,"0.0","0",,,,,"https://www.amazon.ca/dp/B00HED9G38","LOW",,"Dvd","80306",,,,,,,,,"Out of Stock listing ; Listing identified using keywords","true","keywords","235582141120","DVDs & Movies","0.0","0","7.27","lou220711","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=235582141120","LOW","70.0","Dvd","80306","70.0","5.11","0.65","0.51","0.00","Listing identified using keywords","false",,,,,,,,,,,,,,,,,,,,,,
"711719502807","true","1.0","US","Could not identify the product from a valid resource",,"GT SPORT | PS4 (RECD)","[711719502807]","B01E0CJT96","true",,"true","false","false","62.14","false",,,,,,,,,,,,,,,,,,,,,,,,,"true","ID","B01E0CJT96","Video Games > PlayStation 4 > Games","296.64","9","32.96",," Yes but currently out of stock","true","https://www.amazon.ca/dp/B01E0CJT96","HIGH","73.0","Video games","8395","Games","493","3","73.0","23.91","4.94","3.27","3.10",,"true","keywords","296427806766","Video Games & Consoles","0.0","0","26.32",,"https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=296427806766","UNAVAILABLE","86.0",,,"86.0","22.68","1.58","1.06","0.00","Listing price includes shipping ; Listing identified using keywords","true","ID","889201790","Video Games > Video Game Titles","0.0","0","19.99",,,"https://www.walmart.com/ip/889201790","UNAVAILABLE","80.0",,,"80.0","15.99","3.00","0.00",,"Polyphony Digital","VIPRB-Gran Turismo Sport (PlayStation 4)",,"https://i5.walmartimages.com/seo/PlayStation-Gran-Turismo-Sport-PlayStation-4_45737f0a-c41d-4961-ad2e-ef8c615512e7_1.e695b8d1a06057f597ecb276b97b0c40.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"047875881099","true","1.0","US","Could not identify the product from a valid resource","Call of Duty: WWII - PlayStation 4, Ps4, Brand New Sealed!",,,,"true","true","true","true",,"24.87","true","keywords","B0722H6PPG","Video Games > PlayStation 4 > Games","14020.54","433",,"32.38","40.90"," Yes but currently out of stock","true","https://www.amazon.com/dp/B0722H6PPG","HIGH","82.0","Video games","9039","Games","542","6","82.0","26.52","4.86","3.06","0.00","Cross channel competition ; Listing identified using keywords","true","keywords","B0722H6PPG","Video Games > PlayStation 4 > Games","289.98","9","32.22","32.95"," Yes but currently out of stock","true","https://www.amazon.ca/dp/B0722H6PPG","HIGH","76.0","Video games","9039","Games","542","6","76.0","24.45","3.74","3.27","3.03","Listing price includes shipping ; Listing identified using keywords","true","keywords","134319616886","Video Games & Consoles","397.31","16","23.87","dupuisch","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=134319616886","HIGH","86.0","Video games","9039","86.0","20.45","1.43","0.99","0.00","Listing price includes shipping ; Listing identified using keywords","false",,,,,,,,,,,,,,,,,,,,,,
